Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year
10053,American Southern Bank,Kennesaw,GA,2009-04-24,Kennesaw,GA,2009-04-24,2269,,,,,2010
10051,Great Basin Bank of Nevada,Elko,NV,2009-04-17,Elko,NV,2009-04-17,921,267.0,194.0,0.7265917602996255,0.037,2010
10052,American Sterling Bank,Sugar Creek,MO,2009-04-17,Sugar Creek,MO,2009-04-17,188,,,,,2010
10050,New Frontier Bank,Greeley,CO,2009-04-10,Greeley,CO,2009-04-10,620961,296584.0,109283.0,0.368472338359453,0.065,2010
10049,Cape Fear Bank,Wilmington,NC,2009-04-10,Wilmington,NC,2009-04-10,27348,,,,,2010
10048,Omni National Bank,Atlanta,GA,2009-03-27,Atlanta,GA,2009-03-27,12084,,,,,2010
10046,"TeamBank, NA",Paola,KS,2009-03-20,Paola,KS,2009-03-20,79740,37639.0,35209.0,0.9354393049762215,0.539,2010
10045,Colorado National Bank,Colorado Springs,CO,2009-03-20,Colorado Springs,CO,2009-03-20,713777,360675.0,255201.0,0.7075649823248077,0.136,2010
10047,FirstCity Bank,Stockbridge,GA,2009-03-20,Stockbridge,GA,2009-03-20,134056,55634.0,51786.0,0.9308336628680304,0.168,2010
10044,Freedom Bank of Georgia,Commerce,GA,2009-03-06,Commerce,GA,2009-03-06,5970,,,,,2010
10043,Security Savings Bank,Henderson,NV,2009-02-27,Henderson,NV,2009-02-27,27378,,,,,2010
10042,Heritage Community Bank,Glenwood,IL,2009-02-27,Glenwood,IL,2009-02-27,65070,24462.0,19153.0,0.7829695037200556,0.263,2010
10041,Silver Falls Bank,Silverton,OR,2009-02-20,Silverton,OR,2009-02-20,13571,,,,,2010
10040,Pinnacle Bank of Oregon,Beaverton,OR,2009-02-13,Beaverton,OR,2009-02-13,4918,,,,,2010
10037,Corn Belt Bank & Trust Co.,Pittsfield,IL,2009-02-13,Pittsfield,IL,2009-02-13,61961,,,,,2010
10038,Riverside Bank of the Gulf Coast,Cape Coral,FL,2009-02-13,Cape Coral,FL,2009-02-13,1330,,,,,2010
10039,Sherman County Bank,Loup City,NE,2009-02-13,Loup City,NE,2009-02-13,18375,,,,,2010
10034,County Bank,Merced,CA,2009-02-06,Merced,CA,2009-02-06,2981,,,,,2010
10035,Alliance Bank,Culver City,CA,2009-02-06,Culver City,CA,2009-02-06,319294,175950.0,142152.0,0.8079113384484229,0.241,2010
10036,FirstBank Financial Services,McDonough,GA,2009-02-06,McDonough,GA,2009-02-06,459787,,,,0.287,2010
10032,Ocala National Bank,Ocala,FL,2009-01-30,Ocala,FL,2009-01-30,3345,,,,,2010
10033,Suburban FSB,Crofton,MD,2009-01-30,Crofton,MD,2009-01-30,336,,,,,2010
10031,MagnetBank,Salt Lake City,UT,2009-01-30,Salt Lake City,UT,2009-01-30,459787,220969.0,188910.0,0.8549163004765374,0.351,2010
10030,1st Centennial Bank,Redlands,CA,2009-01-23,Redlands,CA,2009-01-23,106476,51190.0,44398.0,0.867317835514749,0.376,2010
10029,Bank of Clark County,Vancouver,WA,2009-01-16,Vancouver,WA,2009-01-16,89,55.0,49.0,0.8909090909090909,0.0,2010
10028,National Bank of Commerce,Berkeley,IL,2009-01-16,Berkeley,IL,2009-01-16,106476,51190.0,44398.0,0.867317835514749,0.376,2010
10026,Sanderson State Bank,Sanderson,TX,2008-12-12,Sanderson,TX,2008-12-12,107006,44254.0,20361.0,0.4600940028020066,0.223,2010
10027,Haven Trust Bank,Duluth,GA,2008-12-12,Duluth,GA,2008-12-12,1029,,,,,2010
10025,First Georgia Community Bank,Jackson,GA,2008-12-05,Jackson,GA,2008-12-05,124969,44581.0,38320.0,0.8595590049572688,0.115,2010
10024,PFF Bank & Trust,Pomona,CA,2008-11-21,Pomona,CA,2008-11-21,24958,,,,,2010
10023,Downey Savings & Loan,Newport Beach,CA,2008-11-21,Newport Beach,CA,2008-11-21,583756,253903.0,210950.0,0.8308290961508923,0.222,2010
10022,Community Bank,Loganville,GA,2008-11-21,Loganville,GA,2008-11-21,18297,,,,,2010
10020,Security Pacific Bank,Los Angeles,CA,2008-11-07,Los Angeles,CA,2008-11-07,257729,114295.0,99095.0,0.8670108053720635,0.333,2010
10021,"Franklin Bank, SSB",Houston,TX,2008-11-07,Houston,TX,2008-11-07,257729,114295.0,99095.0,0.8670108053720635,0.333,2010
10019,Freedom Bank,Bradenton,FL,2008-10-31,Bradenton,FL,2008-10-31,257729,114295.0,99095.0,0.8670108053720635,0.333,2010
10018,Alpha Bank & Trust,Alpharetta,GA,2008-10-24,Alpharetta,GA,2008-10-24,225221,100229.0,89372.0,0.8916780572489,0.276,2010
10017,Meridian Bank,Eldred,IL,2008-10-10,Eldred,IL,2008-10-10,5300,,,,,2010
